按年月別分_Year_and_month,年齡15歲以上民間人口占總人口之比率_Proportion_of_civilian_population_aged_15_years_and_over_to_total_population,勞動力_占總人口之比率_Labor_force_Proportion_of_labor_force_to_total_population,勞動力_占15歲以上民間人口之比率_勞動力參與率_總計_Labor_force_Labor_force_participation_rate_Total,勞動力_占15歲以上民間人口之比率_勞動力參與率_男_Labor_force_Labor_force_participation_rate_Male,勞動力_占15歲以上民間人口之比率_勞動力參與率_女_Labor_force_Labor_force_participation_rate_Female,就業者_占總人口之比率_Employed_Proportion_of_employed_persons_to_total_population,就業者_占15歲以上民間人口之比率_Employed_Proportion_of_employed_persons_to_civilian_population_aged_15_years_and_over,就業者_占勞動力之比率_Employed_Proportion_of_employed_persons_to_labor_force,失業率_總計_Unemployment_rate_Total,失業率_男_Unemployment_rate_Male,失業率_女_Unemployment_rate_Female
"        １０２年平均 Ave., 2013",84.36,49.29,58.43,66.74,50.46,47.23,55.99,95.82,4.18,4.47,3.8
"        １０３年平均 Ave., 2014",84.71,49.59,58.54,66.78,50.64,47.63,56.22,96.04,3.96,4.27,3.56
"        １０４年平均 Ave., 2015",85.09,49.91,58.65,66.91,50.74,48.02,56.43,96.22,3.78,4.05,3.44
"        １０５年平均 Ave., 2016",85.44,50.19,58.75,67.05,50.8,48.22,56.44,96.08,3.92,4.19,3.57
"        １０６年平均 Ave., 2017",85.66,50.4,58.83,67.13,50.92,48.5,56.62,96.24,3.76,4,3.45
"        １０７年平均 Ave., 2018",85.93,50.69,58.99,67.24,51.14,48.81,56.81,96.29,3.71,3.89,3.48
                  １　月  Jan.,85.8,50.55,58.91,67.2,51.02,48.71,56.77,96.37,3.63,3.84,3.37
                  ２　月  Feb.,85.83,50.53,58.88,67.18,50.97,48.66,56.7,96.3,3.7,3.89,3.46
                  ３　月  Mar.,85.84,50.53,58.87,67.18,50.96,48.69,56.72,96.34,3.66,3.87,3.39
                  ４　月  Apr.,85.86,50.54,58.86,67.14,50.97,48.7,56.72,96.36,3.64,3.85,3.37
                  ５　月  May,85.89,50.55,58.86,67.14,50.98,48.72,56.73,96.37,3.63,3.84,3.37
                  ６　月  June,85.92,50.62,58.92,67.2,51.04,48.75,56.74,96.3,3.7,3.89,3.46
                  ７　月  July,85.94,50.78,59.09,67.33,51.25,48.85,56.84,96.19,3.81,3.98,3.59
                  ８　月  Aug.,85.96,50.88,59.19,67.39,51.38,48.92,56.9,96.13,3.87,4.01,3.69
                  ９　月  Sept.,85.99,50.78,59.05,67.25,51.25,48.87,56.83,96.24,3.76,3.9,3.58
              １０    月  Oct.,86.02,50.82,59.08,67.29,51.27,48.92,56.87,96.25,3.75,3.9,3.56
              １１    月  Nov.,86.04,50.85,59.11,67.29,51.32,48.97,56.92,96.3,3.7,3.85,3.51
              １２    月  Dec.,86.05,50.85,59.09,67.28,51.29,48.99,56.93,96.34,3.66,3.81,3.47
"        １０８年平均 Ave., 2019",86.13,50.96,59.17,67.34,51.39,49.06,56.96,96.27,3.73,3.85,3.58
                  １　月  Jan.,86.05,50.85,59.09,67.3,51.28,49,56.94,96.36,3.64,3.79,3.45
                  ２　月  Feb.,86.07,50.84,59.07,67.26,51.27,48.95,56.87,96.28,3.72,3.89,3.51
                  ３　月  Mar.,86.08,50.84,59.06,67.25,51.27,48.97,56.89,96.32,3.68,3.86,3.45
                  ４　月  Apr.,86.09,50.85,59.06,67.26,51.27,48.98,56.9,96.33,3.67,3.86,3.43
                  ５　月  May,86.1,50.86,59.07,67.26,51.27,49,56.91,96.33,3.67,3.85,3.44
                  ６　月  June,86.12,50.91,59.12,67.3,51.32,49.01,56.91,96.27,3.73,3.87,3.55
                  ７　月  July,86.13,51.06,59.28,67.41,51.54,49.11,57.01,96.18,3.82,3.9,3.71
                  ８　月  Aug.,86.16,51.16,59.38,67.51,51.64,49.17,57.07,96.11,3.89,3.94,3.81
                  ９　月  Sept.,86.17,51.03,59.22,67.39,51.44,49.09,56.97,96.2,3.8,3.84,3.75
              １０    月  Oct.,86.18,51.05,59.24,67.4,51.46,49.13,57.01,96.23,3.77,3.84,3.68
              １１    月  Nov.,86.19,51.07,59.25,67.38,51.5,49.16,57.04,96.27,3.73,3.81,3.64
              １２    月  Dec.,86.21,51.05,59.22,67.34,51.47,49.18,57.05,96.33,3.67,3.72,3.6
